X,Y
-117.8697409,33.99441581
-117.8095695,34.02055325
-118.2637504,33.82942155
-118.2506554,33.87403687
-118.0694983,33.88977887
-118.1209258,34.69354971
-118.070146,33.91976197
-118.0806423,33.9086128
-118.0645713,34.08115135
-118.2688945,33.83158508
-118.0955786,33.92357555
-117.9863148,34.13412122
-118.0933771,33.91717347
-118.0928413,33.88165447
-118.011943,33.91907288
-118.1035952,33.89190597
-118.0788357,33.90112889
-118.3544323,34.13638124
-118.1252167,33.89587294
-118.1172703,33.88804031
-118.0823417,33.8888661
-118.0969934,33.92414695
-118.0651955,33.90661234
-118.0993634,34.70260564
-118.1064812,34.69682275
-118.0823356,33.8872
-118.0641047,33.89483191
-118.0742187,33.90165757
-118.0286593,33.91454221
-117.8845922,33.97924991
-117.8870075,33.9796655
-118.213938,33.93853663
-118.2782757,33.8819004
-118.0998475,33.97607747
-118.2563273,33.97468642
-118.1384074,34.67619696
-118.3522863,33.89285349
-118.1140866,34.17021488
-118.1319404,34.17765293
-118.077273,34.08075479
-118.1840034,33.92974142
-117.9282288,33.99081396
-117.8644874,34.03718347
-118.7936633,34.02160432
-118.6598854,34.44692801
-118.6599015,34.11385317
-118.109643,34.58590104
-118.3664819,34.08867411
-118.0302254,33.94969081
-118.2851271,33.8290734
-118.3441569,34.0891734
-118.0720709,34.56761629
-118.2342392,33.89361511
-118.1485103,34.02524775
-118.1075939,34.70038714
-118.4586467,33.97911975
-118.0980795,34.06269844
-117.8559332,34.05770634
-118.1083885,33.92729041
-118.0881063,33.90209919
-117.9882644,34.04411623
-118.2390011,33.90625956
-118.2675881,33.80740345
-118.1362756,34.57660305
-117.9534352,34.01425026
-118.0558857,34.58475097
-118.2750481,33.81942054
-118.0893516,34.05263049
-118.0795849,33.9039609
-117.932066,34.00022579
-118.3601535,33.93530705
-117.9028369,34.01330329
-118.1641654,34.02194028
-118.0423583,34.04836618
-118.0436514,33.95415314
-118.3537319,33.88745884
-118.0698253,33.87124434
-118.5269349,34.37736837
-118.2845638,33.83531302
-118.2990401,33.94603484
-118.1516894,34.70403443
-117.9282288,33.99081396
-117.9925348,34.01766671
-118.1556497,34.00874287
-118.3699674,33.94488793
-117.9621528,34.03163939
-118.1219008,33.88767772
-118.0686561,33.82415814
-118.0078326,34.52258168
-118.1086462,33.9635702
-118.0804653,34.01222755
-117.8772581,33.98791917
-118.0397609,34.02857292
-117.9615975,34.04191007
-118.4586467,33.97911975
-118.3782946,34.08859628
-118.0870061,34.00378213
-118.0839771,33.99528498
-118.1886466,34.05174887
-118.2513082,33.89327683
-118.2961225,33.81192275
-118.6328352,34.14895715
-118.0871883,34.56805648
-118.249434,33.97914978
-118.2893459,33.83167786
-118.0307933,33.90709845
-118.167413,34.0029729
-118.167413,34.0029729
-118.1025411,33.96923253
-118.1974513,33.8902356
-118.230895,33.89328263
-118.1484236,34.70399134
-118.0443363,33.89764217
-118.0450797,33.89763745
-117.9149651,34.01162034
-118.0526631,34.05546234
-118.009458,33.89568168
-118.159765,34.18359518
-118.5519821,34.45941623
-118.0760388,33.82672756
-118.1251664,33.88404847
-118.6150195,34.45136042
-118.2901918,33.81693595
-118.2560303,33.89990668
-118.5451287,34.414631
-118.1540933,34.19678899
-118.1461093,34.70399395
-118.3590429,33.93785024
-118.2049968,33.930445
-117.9121396,34.01802047
-118.2252783,33.84102256
-118.0662869,33.90419078
-118.5978703,34.13921355
-118.2975248,33.79900582
-118.1332172,34.69024797
-117.9687697,33.9920582
-118.4248407,34.41980258
-118.2574762,33.90270269
-118.0727075,34.0979892
-118.4590476,34.42177157
-118.1306537,34.72814596
-118.20026,33.92849182
-117.958399,34.04191531
-118.1535938,34.69896977
-118.1528278,33.91521252
-117.9640302,34.00797974
-118.0156298,33.87941053
-118.3262238,34.49362414
-118.5969024,34.03952087
-118.2947434,33.95890632
-118.1204153,34.57335744
-117.9264866,34.0439071
-118.2964283,33.9210599
-118.0630597,34.11173697
-118.362959,33.98534658
-118.0937735,34.56436079
-118.10092,33.90393384
-118.079182,34.01587276
-117.9261377,34.00931047
-118.079182,34.01587276
-118.1224259,33.88021695
-118.1433476,34.67227
-118.0618675,33.97403917
-118.0937735,34.56436079
-118.1487356,34.71588482
-118.8178752,34.08851991
-117.8652117,34.01879662
-118.2487786,33.87228025
-117.9837727,34.04597266
-118.2426504,34.02706638
-118.7033839,34.03480326
-118.7033839,34.03480326
-118.0959056,33.95814665
-117.968716,33.99231761
-118.0597791,34.0206212
-117.9943345,33.91291448
-118.2223168,33.96870048
-118.0884263,33.91703297
-118.191504,33.90367209
-118.3077897,33.93919101
-118.0486289,33.8685524
-118.1590201,34.68216848
-117.7225551,34.08074399
-117.8697409,33.99441581
-118.1361827,34.0011167
-118.2426502,34.23301156
-117.9119234,34.00700661
-118.0389149,33.8655811
-117.9691099,33.98578905
-117.7768072,34.02182008
-118.1535204,33.84792491
-118.0884717,34.07030392
-117.8834672,33.97557884
-118.1004097,33.97684876
-117.9782307,34.0459739
-118.297222,33.91920227
-117.9272739,34.03800418
-117.9735031,33.97881638
-118.1649691,34.71441287
-118.010787,34.10980607
-118.0402515,33.91786718
-118.2536433,33.89337336
-118.0058263,33.9162237
-117.9834668,34.05614919
-118.1674952,34.69202479
-117.8612024,33.9861946
-118.1528337,33.90487566
-118.0216528,34.10062123
-118.0859821,34.09372536
-118.5987961,34.44223089
-118.5987961,34.44223089
-117.8095695,34.02055325
-118.2817677,33.82536259
-118.6116349,34.14665247
-118.0826286,33.90014759
-118.3681128,34.08795471
-118.2260708,33.88851446
-118.1666207,34.47440968
-118.0695253,34.57773167
-118.2630383,33.84294356
-117.9726652,34.13220591
-118.2134501,33.9045454
-117.8550155,34.10660159
-118.057361,33.90957598
-118.1803015,33.92175962
-118.1554479,34.01664181
-118.1554479,34.01664181
-118.182173,34.03948886
-117.8071524,34.12367947
-118.2779203,33.8382905
-118.0899503,33.91011374
-118.1078656,33.96539125
-118.2468043,33.96128328
-117.8286985,34.08330159
-118.2237859,33.89603265
-118.091341,33.83757424
-118.5871847,34.38816447
-118.459677,33.98087508
-118.2733796,33.8857398
-118.0337079,34.57436596
-118.347237,33.90198345
-118.2343063,33.89368696
-118.1724602,34.66179315
-118.2336596,33.92467581
-118.3635055,33.93551785
-118.0992195,34.16905352
-118.2948143,33.94131943
-118.1457615,34.20456994
-118.0492425,33.85878087
-118.0211996,33.90847436
-117.9900305,34.02504541
-118.0722846,34.58603779
-118.2353027,33.92453902
-118.0289217,33.88204136
-118.228463,33.92702646
-118.187408,33.92940795
-118.1343076,34.57338352
-118.1069136,34.56814726
-118.1333453,34.67755993
-118.0153924,34.53192853
-118.2239862,33.89589629
-118.1159312,34.70265261
