X,Y
-118.0992319,33.91412369
-118.2316295,34.05914118
-118.5562676,34.19692116
-118.0142071,34.14020432
-117.9942573,33.93090443
-118.0378828,33.90976805
-118.4882004,34.41973429
-118.2411716,33.97961581
-118.0031268,33.91667394
-118.0839586,33.91710673
-117.9915668,33.92537001
-118.2965546,34.07624588
-118.4926491,34.01587779
-118.0192582,33.90091759
-118.073809,33.91179287
-117.9233989,34.0122277
-118.0694751,33.82618046
-118.5604798,34.37165268
-118.5390052,34.39137094
-118.510801,34.37020439
-118.4550763,34.41119357
-118.1462267,33.87468028
-118.1218798,34.58410494
-118.2524769,33.89862663
-118.1207457,34.58100688
-118.0197983,33.91953102
-118.6150195,34.45136042
-118.0800396,34.08051966
-117.7520565,34.06973478
-118.2243283,33.90333611
-118.5400125,34.36948692
-118.3172786,33.78952999
-118.3046957,33.93090856
-118.6150195,34.45136042
-118.3118396,33.79879492
-118.2242209,33.90135374
-118.0239532,33.94444669
-118.2030769,33.8887103
-118.0702896,33.91383147
-118.5328183,34.38335382
-118.2060905,33.95349331
-118.323981,33.78868253
-118.2097152,33.90145945
-118.2102115,34.05960708
-118.1378699,34.70392124
-118.1551921,34.02538072
-117.9585264,34.042899
-117.8703888,33.99712623
-118.098285,34.04840147
-117.9005813,33.98607455
-118.5058016,34.44604892
-118.5020089,34.44773985
-118.0319709,33.94614237
-118.1393738,34.71083361
-118.0093099,34.12203208
-118.1513243,34.19831023
-118.366657,33.7402594
-118.0633262,33.84125295
-118.0278843,33.94283863
-118.0830028,34.56798309
-117.8181993,34.00861634
-118.2636877,33.83537332
-118.0452409,34.55806677
-118.0707545,33.96138704
-118.2940102,33.8179572
-118.0847127,33.98323443
-118.1723395,34.04412587
-118.6972569,34.15236128
-118.057744,33.90238496
-118.386626,34.09064633
-118.386626,34.09064633
-118.3651997,34.09801618
-118.0939283,34.56787196
-118.0790985,33.99684868
-118.3046957,33.93097725
-118.2886447,33.80939521
-118.2814982,33.78471076
-118.0933327,34.54273134
-118.59687,34.42637096
-118.1248472,34.58003871
-118.0862074,34.06148148
-118.2940153,33.81726667
-118.1415626,34.68218827
-118.1275246,33.90617988
-118.3618784,34.13952474
-118.2902713,33.82809125
-118.0467212,33.95616307
-117.7735611,34.58737065
-118.1443059,34.71511403
-118.2517531,34.04875997
-118.3439036,33.93557045
-117.9904307,33.91764198
-118.1108461,34.58197119
-118.0140012,34.57271766
-118.1981483,34.49108626
-118.4979673,34.45803151
-118.3804325,34.08066269
-118.2516894,34.04871627
-117.9205927,34.02744904
-118.1562917,33.83307275
-118.2908181,33.79777465
-118.0790128,33.99586412
-118.1198555,34.60173687
-118.0482431,33.90035165
-118.2903327,33.81014063
-117.9894636,33.92860063
-118.1015315,34.06268537
-118.1330559,33.86782179
-118.8914617,34.04737331
-118.0763038,33.92077915
