X,Y
-118.1825054,33.92522199
-118.0775863,34.03652096
-118.3759729,33.99050184
-118.2499713,33.90653601
-117.9205051,34.01518244
-118.2363035,34.63080165
-118.2033368,33.92452896
-117.9498853,34.03854962
-118.3002096,33.93470216
-118.2564215,33.97840931
-118.2389508,33.90325095
-118.0106147,34.06064194
-118.2555736,33.89569249
-118.1893033,33.8994034
-118.3591258,33.93812678
-118.2509372,33.96023278
-118.0884183,33.88922781
-118.1728989,34.05783514
-118.1173623,33.88937415
-118.0717817,33.89050247
-118.1424504,33.87045272
-118.1561618,33.89248715
-118.2918133,33.91926859
-118.1848953,33.92245109
-118.1817621,34.0519641
-118.2564103,33.97470625
-118.0408821,34.05440625
-118.2320093,33.97120515
-118.2520941,33.96636677
-118.2062526,33.87683256
-118.2498769,33.91629964
-118.1058207,34.53842404
-117.9770029,34.04822672
-118.2150912,33.91166637
-118.2042105,33.93077629
-118.1771476,34.04320508
-118.2705209,33.82427614
-118.1200833,34.5655165
-118.2172738,33.90399635
-118.2737897,33.90745598
-118.1224672,33.87295517
-118.2563267,33.9745975
-118.2174368,33.91675657
-118.2736217,33.90603419
-118.2490638,33.96752122
-118.2033338,33.90733448
-118.227679,33.93151139
-118.0935339,33.97146291
-118.2496882,33.9675292
-118.1340498,33.90402404
-118.1373915,34.69335723
-117.9200022,34.02653019
-118.139269,34.70391415
-118.23471,33.9040576
-118.237221,33.88919161
-118.3067476,33.91741485
-118.2285176,33.89988794
-118.1426043,33.89237725
-118.2110862,33.92345492
-118.3282901,33.8983677
-118.2462782,33.92375198
-118.2285577,33.89495616
-118.2310644,33.95779186
-118.2347854,33.90391999
-118.1984999,33.89215409
-117.9090495,33.98854041
-118.1757721,34.02385621
-117.9942307,33.89246832
-118.0982952,33.97575384
-118.1814699,34.02901247
-118.2399241,33.89859011
-118.265524,33.82623211
-118.1893279,33.91662391
-118.2163087,33.9097267
-118.2469505,33.88848001
-117.8188778,34.10570695
-117.9576236,34.03932719
-118.2377437,33.92162816
-118.2316492,33.94932463
-118.3134642,33.94546424
-118.1572232,34.20004671
-118.2071758,33.92074998
-117.9863141,34.04277249
-118.2124961,33.91335733
-117.7898322,34.00732101
-118.1036659,33.89646943
-118.2919725,33.94557602
-118.1637991,34.57827523
-118.1054505,33.92012861
-118.1963406,33.8831443
-118.351222,33.89458664
-118.2498834,33.97910567
-118.2311576,34.05913145
-118.2962817,33.93977375
-118.1208879,34.58448656
-118.2349174,33.96630956
-118.1916159,33.91085343
-118.0703949,33.96303745
-118.1911197,33.8960613
-118.0732649,34.56767826
-118.204981,33.88202633
-118.2474771,33.95524917
-118.2444205,33.96376824
-118.2153347,33.94251668
-118.2390809,33.91335489
-118.1219441,34.58187149
-118.0844738,34.12438633
-118.2265159,33.93544331
-118.1339781,33.90480738
-118.1763328,34.03875154
-118.0358386,34.56473826
-118.2694823,33.91993422
-118.1892366,34.02128443
-118.2391533,33.91981019
-118.2918866,33.94550764
-118.2526613,33.88967623
-118.2496966,33.88672776
-118.900878,34.08665283
-118.2278874,33.94294154
-118.2325754,33.9736925
-118.213727,33.91717098
-118.2652663,33.91025997
-118.1221474,34.70753544
-118.2096601,33.92022038
-118.2397377,33.95684606
-118.2799598,33.98511707
-118.2318849,33.9233506
-118.1700865,34.18455968
-118.1878464,33.91787184
-118.0940531,33.973139
-118.2947076,33.95681347
-118.2234568,33.89030361
-118.1989723,33.89626966
-118.2146916,33.966424
